date,ticker,entry_price,exit_price,return_pct
2012-01-31,BBY,14.5023,10.2345,-29.4284
2012-02-29,BBY,14.9565,10.3289,-30.94
2012-03-31,BBY,14.3388,14.0498,-2.0158
2012-04-30,BBY,13.4625,16.4855,22.4549
2013-01-31,MKC,24.1071,25.3228,5.043
2013-02-28,MO,14.7238,16.7521,13.7754
2013-02-28,SYK,54.3986,69.4407,27.6518
2013-02-28,PM,48.3033,44.3658,-8.1516
2013-02-28,GWW,183.4211,209.6239,14.2856
2013-02-28,CF,28.4607,36.0257,26.5805
2013-02-28,MKC,26.0093,26.1987,0.7281
2013-03-31,MO,15.2894,17.5214,14.5985
2013-03-31,SYK,55.7858,70.7764,26.8718
2013-03-31,PM,49.2639,45.4232,-7.7963
2013-03-31,GWW,182.2223,207.684,13.9728
2013-03-31,CF,26.9784,37.4242,38.7195
2013-03-31,MKC,28.4375,28.3056,-0.4635
2013-04-30,MO,16.2319,18.776,15.673
2013-04-30,SYK,56.0765,67.5447,20.451
2013-04-30,WSM,19.9161,23.8281,19.6423
2013-04-30,GWW,199.6282,209.1143,4.7519
2013-04-30,PM,50.7943,47.3983,-6.6857
2013-04-30,CF,26.4313,35.203,33.1864
2013-04-30,MKC,27.9479,28.2391,1.0421
2013-05-31,MO,16.0496,19.4547,21.2159
2013-05-31,SYK,56.7691,73.4,29.2957
2013-05-31,WSM,20.02,25.3833,26.7895
2013-05-31,GWW,209.284,213.2905,1.9144
2013-05-31,PM,48.3074,49.1238,1.6899
2013-05-31,CF,27.1182,35.0768,29.3476
2013-05-31,MKC,26.8368,28.6794,6.8658
2013-06-30,MO,15.7478,19.8564,26.0901
2013-06-30,SYK,55.5337,73.5146,32.3783
2013-06-30,GWW,205.0079,209.9059,2.3892
2013-06-30,WSM,20.7361,27.2267,31.3012
2013-06-30,PM,46.4828,47.2683,1.6898
2013-06-30,CF,24.3547,34.676,42.379
2013-06-30,MKC,27.3341,28.3938,3.877
2013-07-31,MO,15.7793,19.222,21.8178
2013-07-31,SYK,60.4964,69.5477,14.9617
2013-07-31,GWW,213.1048,194.1219,-8.9078
2013-07-31,WSM,21.9533,25.561,16.4338
2013-07-31,PM,47.8565,45.9788,-3.9237
2013-07-31,CF,27.8354,36.0903,29.6561
2013-07-31,MKC,27.9553,26.2249,-6.1898
2013-08-31,MO,15.2482,20.3961,33.7608
2013-08-31,SYK,57.4312,72.634,26.4714
2013-08-31,GWW,201.8,204.1798,1.1793
2013-08-31,WSM,21.0395,25.0656,19.1359
2013-08-31,PM,44.7763,47.9803,7.1556
2013-08-31,CF,27.0872,37.3747,37.9793
2013-08-31,MKC,26.4093,27.7837,5.2041
2013-09-30,MO,15.6722,22.0111,40.4473
2013-09-30,SYK,58.2566,70.6674,21.3037
2013-09-30,GWW,213.5156,208.6996,-2.2556
2013-09-30,WSM,20.9612,25.3705,21.0356
2013-09-30,PM,46.9585,47.3078,0.744
2013-09-30,CF,30.0031,40.5005,34.9876
2013-09-30,MKC,25.2577,26.6714,5.5971
2013-10-31,MO,16.9862,23.161,36.3524
2013-10-31,SYK,63.6608,76.6008,20.3265
2013-10-31,GWW,219.4386,204.6774,-6.7268
2013-10-31,WSM,19.6725,24.9093,26.6198
2013-10-31,PM,48.3305,50.4901,4.4683
2013-10-31,CF,30.6819,37.7127,22.9149
2013-10-31,MKC,27.1373,28.3501,4.4689
2013-11-30,MO,16.8721,24.081,42.7265
2013-11-30,SYK,64.1435,81.3091,26.7613
2013-11-30,GWW,211.1537,204.6215,-3.0936
2013-11-30,PM,46.3891,49.3102,6.2971
2013-11-30,WSM,22.1784,28.5597,28.7722
2013-11-30,CF,31.0776,39.1147,25.8614
2013-11-30,MKC,27.0785,29.7972,10.0403
2013-12-31,MO,17.7362,23.852,34.4821
2013-12-31,SYK,65.0271,82.8506,27.4093
2013-12-31,GWW,209.1069,212.2923,1.5233
2013-12-31,WSM,21.8633,28.9887,32.5904
2013-12-31,PM,47.7765,46.7648,-2.1174
2013-12-31,CF,33.3165,39.7551,19.3256
2013-12-31,MKC,27.193,29.9416,10.108
2014-01-31,MO,16.2716,25.7061,57.9811
2014-01-31,SYK,67.1561,79.9698,19.0806
2014-01-31,PM,42.8469,46.0701,7.5225
2014-01-31,WSM,20.571,30.1,46.3227
2014-01-31,GWW,191.9638,196.426,2.3245
2014-01-31,CF,33.0048,44.5454,34.9665
2014-02-28,MO,16.7521,27.2504,62.6685
2014-02-28,PM,44.3658,47.6318,7.3615
2014-02-28,IDXX,62.95,78.415,24.5671
2014-02-28,SYK,69.4407,83.2195,19.8426
2014-02-28,BIIB,340.68,409.59,20.2272
2014-02-28,GWW,209.6239,198.2123,-5.4439
2014-02-28,WSM,21.9746,30.9463,40.8276
2014-02-28,CF,36.0257,44.8948,24.6187
2014-03-31,PM,45.4232,43.7994,-3.5746
2014-03-31,MO,17.5214,24.4586,39.5925
2014-03-31,IDXX,60.7,77.24,27.2488
2014-03-31,BIIB,305.87,422.24,38.0456
2014-03-31,SYK,70.7764,81.3303,14.9116
2014-03-31,GWW,207.684,197.2919,-5.0038
2014-03-31,WSM,25.144,30.6616,21.9442
2014-03-31,CF,37.4242,41.5888,11.1281
2014-04-30,MO,18.776,24.4733,30.3436
2014-04-30,PM,47.3983,48.5323,2.3925
2014-04-30,SYK,67.5447,81.3215,20.3966
2014-04-30,WSM,23.8281,28.414,19.2455
2014-04-30,BIIB,287.12,373.93,30.2347
2014-04-30,IDXX,63.22,62.685,-0.8463
2014-04-30,GWW,209.1143,207.8505,-0.6043
2014-04-30,CF,35.203,42.1445,19.7186
2014-05-31,PM,49.1238,48.2998,-1.6775
2014-05-31,MO,19.4547,25.0356,28.6864
2014-05-31,IDXX,64.24,67.8,5.5417
2014-05-31,SYK,73.4,84.7511,15.4646
2014-05-31,WSM,25.3833,30.377,19.6733
2014-05-31,BIIB,319.37,396.99,24.3041
2014-05-31,GWW,213.2905,202.0341,-5.2775
2014-05-31,CF,35.0768,46.5397,32.6794
2014-06-30,PM,47.2683,47.1812,-0.1842
2014-06-30,MO,19.8564,24.1712,21.73
2014-06-30,SYK,73.5146,84.5598,15.0246
2014-06-30,BIIB,315.31,403.94,28.1088
2014-06-30,IDXX,66.785,64.14,-3.9605
2014-06-30,WSM,27.2267,31.7913,16.7652
2014-06-30,GWW,209.9059,198.9405,-5.224
2014-06-30,CF,34.676,47.3529,36.5582
2014-07-31,MO,19.222,26.8744,39.8111
2014-07-31,PM,45.9788,50.3356,9.4757
2014-07-31,IDXX,62.24,72.73,16.8541
2014-07-31,BIIB,334.39,318.78,-4.6682
2014-07-31,WSM,25.561,32.8543,28.5327
2014-07-31,SYK,69.5477,90.4879,30.1093
2014-07-31,GWW,194.1219,192.2657,-0.9562
2014-07-31,CF,36.0903,43.6107,20.8378
2014-08-31,MO,20.3961,26.4791,29.8241
2014-08-31,PM,47.9803,46.9634,-2.1194
2014-08-31,IDXX,61.985,71.47,15.3021
2014-08-31,BIIB,343.04,297.3,-13.3337
2014-08-31,WSM,25.0656,29.5052,17.712
2014-08-31,SYK,72.634,87.285,20.1709
2014-08-31,GWW,204.1798,188.8084,-7.5283
2014-08-31,CF,37.3747,42.4925,13.6933
2014-09-30,MO,22.0111,27.1725,23.449
2014-09-30,PM,47.3078,47.2852,-0.0479
2014-09-30,SYK,70.6674,83.5566,18.2393
2014-09-30,BIIB,330.81,291.81,-11.7892
2014-09-30,IDXX,58.915,74.25,26.029
2014-09-30,WSM,25.3705,29.6294,16.7868
2014-09-30,GWW,208.6996,181.6851,-12.9442
2014-09-30,CF,40.5005,33.2505,-17.9009
2014-10-31,MO,23.161,30.2045,30.4106
2014-10-31,PM,50.4901,52.6914,4.36
2014-10-31,WSM,24.9093,28.7566,15.4454
2014-10-31,BIIB,321.08,290.51,-9.521
2014-10-31,SYK,76.6008,84.9064,10.8426
2014-10-31,IDXX,70.835,68.62,-3.127
2014-10-31,GWW,204.6774,177.4515,-13.3019
2014-10-31,CF,37.7127,37.5975,-0.3053
2014-11-30,MO,24.081,28.7709,19.4757
2014-11-30,PM,49.3102,52.0894,5.6362
2014-11-30,IDXX,74.675,70.82,-5.1624
2014-11-30,WSM,28.5597,24.6936,-13.5367
2014-11-30,COR,66.5203,72.9158,9.6144
2014-11-30,GWW,204.6215,170.4042,-16.7222
2014-11-30,SYK,81.3091,85.6522,5.3415
2014-11-30,BIIB,307.69,286.86,-6.7698
2014-11-30,CF,39.1147,34.3855,-12.0907
2014-12-31,MO,23.852,29.3644,23.1112
2014-12-31,PM,46.7648,53.0216,13.3792
2014-12-31,IDXX,74.135,72.92,-1.6389
2014-12-31,WSM,28.9887,22.7752,-21.434
2014-12-31,COR,65.8701,76.6636,16.3862
2014-12-31,SYK,82.8506,82.8618,0.0134
2014-12-31,GWW,212.2923,172.1462,-18.9108
2014-12-31,BIIB,339.45,306.35,-9.7511
2014-12-31,CF,39.7551,30.4133,-23.4982
2015-01-31,MO,25.7061,30.8274,19.9225
2015-01-31,PM,46.0701,54.2882,17.8382
2015-01-31,WSM,30.1,20.2832,-32.6138
2015-01-31,GWW,196.426,167.1328,-14.9131
2015-01-31,IDXX,79.21,70.14,-11.4506
2015-01-31,COR,69.4427,66.2038,-4.6641
2015-01-31,SYK,79.9698,88.3984,10.5397
2015-01-31,BIIB,389.16,273.06,-29.8335
2015-01-31,CF,44.5454,22.3573,-49.8102
2015-02-28,PM,47.6318,54.9033,15.2662
2015-02-28,MO,27.2504,31.0594,13.9779
2015-02-28,IDXX,78.415,73.16,-6.7015
2015-02-28,WSM,30.9463,20.4599,-33.8856
2015-02-28,GWW,198.2123,185.4033,-6.4623
2015-02-28,TER,17.9974,17.9955,-0.0106
2015-02-28,CF,44.8948,27.4609,-38.8328
2015-02-28,SYK,83.2195,89.0492,7.0052
2015-02-28,LMT,148.9583,165.5817,11.1597
2015-02-28,COR,75.2967,64.2803,-14.6306
2015-02-28,BA,132.7529,106.9686,-19.4228
2015-03-31,PM,43.7994,59.7922,36.5135
2015-03-31,MO,24.4586,31.8953,30.4055
2015-03-31,IDXX,77.24,78.32,1.3982
2015-03-31,WSM,30.6616,21.4925,-29.9041
2015-03-31,TER,17.5596,20.3628,15.9643
2015-03-31,GWW,197.2919,199.5329,1.1359
2015-03-31,LMT,151.1251,169.9631,12.4652
