date,ticker,entry_price,exit_price,return_pct
2012-01-31,BBY,14.5023,14.9565,3.1315
2012-02-29,BBY,14.9565,14.3388,-4.1295
2012-03-31,BBY,14.3388,13.4625,-6.1115
2012-04-30,BBY,13.4625,11.419,-15.179
2013-01-31,MKC,24.1071,26.0093,7.8909
2013-02-28,MO,14.7238,15.2894,3.8413
2013-02-28,PM,48.3033,49.2639,1.9887
2013-02-28,CF,28.4607,26.9784,-5.2084
2013-02-28,SYK,54.3986,55.7858,2.55
2013-02-28,GWW,183.4211,182.2224,-0.6535
2013-02-28,MKC,26.0093,28.4375,9.3355
2013-03-31,MO,15.2894,16.2319,6.1645
2013-03-31,PM,49.2639,50.7943,3.1065
2013-03-31,SYK,55.7858,56.0765,0.5212
2013-03-31,GWW,182.2224,199.6282,9.552
2013-03-31,CF,26.9784,26.4313,-2.0276
2013-03-31,MKC,28.4375,27.9479,-1.7216
2013-04-30,MO,16.2319,16.0496,-1.123
2013-04-30,PM,50.7943,48.3074,-4.8959
2013-04-30,WSM,19.9161,20.02,0.5216
2013-04-30,GWW,199.6282,209.284,4.8369
2013-04-30,SYK,56.0765,56.7691,1.2351
2013-04-30,CF,26.4313,27.1182,2.5988
2013-04-30,MKC,27.9479,26.8368,-3.9755
2013-05-31,MO,16.0496,15.7478,-1.8809
2013-05-31,PM,48.3074,46.4828,-3.7772
2013-05-31,WSM,20.02,20.7361,3.5767
2013-05-31,GWW,209.284,205.0079,-2.0432
2013-05-31,SYK,56.7691,55.5337,-2.1762
2013-05-31,CF,27.1182,24.3547,-10.1906
2013-05-31,MKC,26.8368,27.3341,1.853
2013-06-30,MO,15.7478,15.7793,0.2001
2013-06-30,PM,46.4828,47.8565,2.9554
2013-06-30,GWW,205.0079,213.1048,3.9496
2013-06-30,WSM,20.7361,21.9533,5.87
2013-06-30,SYK,55.5337,60.4963,8.9363
2013-06-30,CF,24.3547,27.8354,14.2915
2013-06-30,MKC,27.3341,27.9553,2.2726
2013-07-31,MO,15.7793,15.2482,-3.3657
2013-07-31,PM,47.8565,44.7763,-6.4364
2013-07-31,WSM,21.9533,21.0395,-4.1625
2013-07-31,GWW,213.1048,201.8,-5.3048
2013-07-31,SYK,60.4963,57.4312,-5.0667
2013-07-31,CF,27.8354,27.0872,-2.6878
2013-07-31,MKC,27.9553,26.4093,-5.53
2013-08-31,MO,15.2482,15.6722,2.7805
2013-08-31,PM,44.7763,46.9585,4.8735
2013-08-31,WSM,21.0395,20.9612,-0.3723
2013-08-31,GWW,201.8,213.5156,5.8056
2013-08-31,SYK,57.4312,58.2566,1.4373
2013-08-31,CF,27.0872,30.0031,10.765
2013-08-31,MKC,26.4093,25.2577,-4.3607
2013-09-30,MO,15.6722,16.9862,8.3843
2013-09-30,PM,46.9585,48.3305,2.9219
2013-09-30,WSM,20.9612,19.6725,-6.148
2013-09-30,GWW,213.5156,219.4386,2.7741
2013-09-30,SYK,58.2566,63.6608,9.2766
2013-09-30,CF,30.0031,30.6819,2.2625
2013-09-30,MKC,25.2577,27.1373,7.4417
2013-10-31,MO,16.9862,16.8721,-0.6715
2013-10-31,GWW,219.4386,211.1537,-3.7755
2013-10-31,PM,48.3305,46.3891,-4.017
2013-10-31,WSM,19.6725,22.1784,12.7383
2013-10-31,SYK,63.6608,64.1435,0.7581
2013-10-31,CF,30.6819,31.0776,1.2896
2013-10-31,MKC,27.1373,27.0785,-0.2169
2013-11-30,MO,16.8721,17.7361,5.1211
2013-11-30,PM,46.3891,47.7765,2.9908
2013-11-30,GWW,211.1537,209.1069,-0.9693
2013-11-30,WSM,22.1784,21.8633,-1.4208
2013-11-30,SYK,64.1435,65.0271,1.3777
2013-11-30,CF,31.0776,33.3164,7.204
2013-11-30,MKC,27.0785,27.193,0.423
2013-12-31,MO,17.7361,16.2716,-8.2574
2013-12-31,PM,47.7765,42.8469,-10.318
2013-12-31,WSM,21.8633,20.571,-5.911
2013-12-31,GWW,209.1069,191.9638,-8.1983
2013-12-31,SYK,65.0271,67.156,3.2739
2013-12-31,CF,33.3164,33.0048,-0.9355
2013-12-31,MKC,27.193,25.3228,-6.8776
2014-01-31,MO,16.2716,16.7521,2.9529
2014-01-31,PM,42.8469,44.3658,3.545
2014-01-31,WSM,20.571,21.9746,6.8232
2014-01-31,GWW,191.9638,209.6239,9.1997
2014-01-31,SYK,67.156,69.4407,3.4021
2014-01-31,CF,33.0048,36.0257,9.153
2014-02-28,PM,44.3658,45.4232,2.3833
2014-02-28,MO,16.7521,17.5214,4.5924
2014-02-28,IDXX,62.95,60.7,-3.5743
2014-02-28,WSM,21.9746,25.144,14.4231
2014-02-28,GWW,209.6239,207.6839,-0.9254
2014-02-28,CF,36.0257,37.4242,3.882
2014-02-28,BIIB,340.68,305.87,-10.2178
2014-02-28,SYK,69.4407,70.7764,1.9235
2014-03-31,PM,45.4232,47.3983,4.3483
2014-03-31,MO,17.5214,18.776,7.1601
2014-03-31,IDXX,60.7,63.22,4.1516
2014-03-31,GWW,207.6839,209.1143,0.6887
2014-03-31,CF,37.4242,35.203,-5.9354
2014-03-31,WSM,25.144,23.8281,-5.2332
2014-03-31,BIIB,305.87,287.12,-6.1301
2014-03-31,SYK,70.7764,67.5447,-4.5661
2014-04-30,PM,47.3983,49.1238,3.6404
2014-04-30,MO,18.776,19.4547,3.6151
2014-04-30,WSM,23.8281,25.3833,6.5266
2014-04-30,CF,35.203,35.0768,-0.3584
2014-04-30,IDXX,63.22,64.24,1.6134
2014-04-30,GWW,209.1143,213.2906,1.9972
2014-04-30,BIIB,287.12,319.37,11.2322
2014-04-30,SYK,67.5447,73.4,8.6688
2014-05-31,PM,49.1238,47.2683,-3.7773
