date,total_tickers,insufficient_data,roic_null,passed_roic,passed_fcf,passed_debt,passed_growth,passed_margin,passed_all
2020-06-30,503,48,113,76,60,53,26,9,9
2020-07-31,503,48,113,76,60,53,26,9,9
2020-08-31,503,48,113,73,60,53,27,9,9
2020-09-30,503,48,113,73,60,53,27,9,9
2020-10-31,503,48,113,73,60,53,28,10,10
2020-11-30,503,48,112,74,61,53,28,10,10
2020-12-31,503,48,112,75,61,53,28,11,11
2021-01-31,503,48,112,75,61,53,29,12,12
2021-02-28,503,38,111,80,64,54,38,19,19
2021-03-31,503,36,112,80,64,54,38,19,19
2021-04-30,503,36,112,80,64,54,38,19,19
2021-05-31,503,36,112,80,64,54,38,19,19
2021-06-30,503,36,112,80,64,54,38,19,19
2021-07-31,503,36,112,80,64,54,38,19,19
2021-08-31,503,36,112,80,64,54,39,20,20
2021-09-30,503,36,112,80,64,54,39,20,20
2021-10-31,503,36,112,80,64,54,39,20,20
2021-11-30,503,36,111,81,66,56,40,21,21
2021-12-31,503,35,111,81,66,56,40,21,21
2022-01-31,503,35,108,82,67,57,41,22,22
2022-02-28,503,30,101,90,73,60,50,26,26
2022-03-31,503,29,99,91,74,60,51,27,27
2022-04-30,503,29,99,91,74,60,51,27,27
2022-05-31,503,29,99,91,74,60,51,27,27
2022-06-30,503,29,100,91,74,60,51,27,27
2022-07-31,503,29,100,92,75,61,52,28,28
2022-08-31,503,29,98,92,75,60,51,27,27
2022-09-30,503,29,98,92,75,60,51,27,27
2022-10-31,503,29,98,92,75,60,51,27,27
2022-11-30,503,29,98,92,75,60,53,28,28
2022-12-31,503,29,97,93,76,61,54,28,28
